id,registry_name,vendor_slug,vendor_label,modality_summary,input_modalities_str,output_modalities_str,context_length,context_length_source,context_length_note,owned_by,created,object,series,inferred_task_tags_str
qwen1.5-72b-chat,aliyun_bailian:qwen1.5-72b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1714377101,model,qwen,chat
qwen1.5-7b-chat,aliyun_bailian:qwen1.5-7b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1735036190,model,qwen,chat
qwen2-0.5b-instruct,aliyun_bailian:qwen2-0.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2-1.5b-instruct,aliyun_bailian:qwen2-1.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2-57b-a14b-instruct,aliyun_bailian:qwen2-57b-a14b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2-7b-instruct,aliyun_bailian:qwen2-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1717760433,model,qwen,chat
qwen2.5-0.5b-instruct,aliyun_bailian:qwen2.5-0.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1757402120,model,qwen,chat
qwen2.5-1.5b-instruct,aliyun_bailian:qwen2.5-1.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1757402614,model,qwen,chat
qwen2.5-14b-instruct,aliyun_bailian:qwen2.5-14b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012728,model,qwen,chat
qwen2.5-14b-instruct-1m,aliyun_bailian:qwen2.5-14b-instruct-1m,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760422035,model,qwen,chat
qwen2.5-32b-instruct,aliyun_bailian:qwen2.5-32b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012737,model,qwen,chat
qwen2.5-3b-instruct,aliyun_bailian:qwen2.5-3b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1726638000,model,qwen,chat
qwen2.5-72b-instruct,aliyun_bailian:qwen2.5-72b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012775,model,qwen,chat
qwen2.5-7b-instruct,aliyun_bailian:qwen2.5-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012786,model,qwen,chat
qwen2.5-7b-instruct-1m,aliyun_bailian:qwen2.5-7b-instruct-1m,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760422022,model,qwen,chat
qwen2.5-coder-0.5b-instruct,aliyun_bailian:qwen2.5-coder-0.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956320,model,qwen,chat
qwen2.5-coder-14b-instruct,aliyun_bailian:qwen2.5-coder-14b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956329,model,qwen,chat
qwen2.5-coder-32b-instruct,aliyun_bailian:qwen2.5-coder-32b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956340,model,qwen,chat
qwen2.5-coder-3b-instruct,aliyun_bailian:qwen2.5-coder-3b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1753956350,model,qwen,chat
qwen2.5-coder-7b-instruct,aliyun_bailian:qwen2.5-coder-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012797,model,qwen,chat
qwen2.5-math-1.5b-instruct,aliyun_bailian:qwen2.5-math-1.5b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012689,model,qwen,chat
qwen2.5-math-72b-instruct,aliyun_bailian:qwen2.5-math-72b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012807,model,qwen,chat
qwen2.5-math-7b-instruct,aliyun_bailian:qwen2.5-math-7b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1754012818,model,qwen,chat
qwen2.5-vl-32b-instruct,aliyun_bailian:qwen2.5-vl-32b-instruct,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1760421573,model,qwen,"chat,vision"
qwen3-0.6b,aliyun_bailian:qwen3-0.6b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760687998,model,qwen,chat
qwen3-1.7b,aliyun_bailian:qwen3-1.7b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760687985,model,qwen,chat
qwen3-14b,aliyun_bailian:qwen3-14b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760688012,model,qwen,chat
qwen3-235b-a22b,aliyun_bailian:qwen3-235b-a22b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1753955239,model,qwen,chat
qwen3-235b-a22b-instruct-2507,aliyun_bailian:qwen3-235b-a22b-instruct-2507,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761536552,model,qwen,chat
qwen3-235b-a22b-thinking-2507,aliyun_bailian:qwen3-235b-a22b-thinking-2507,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761536566,model,qwen,chat
qwen3-30b-a3b,aliyun_bailian:qwen3-30b-a3b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1767089194,model,qwen,chat
qwen3-30b-a3b-instruct-2507,aliyun_bailian:qwen3-30b-a3b-instruct-2507,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1761298493,model,qwen,chat
qwen3-30b-a3b-thinking-2507,aliyun_bailian:qwen3-30b-a3b-thinking-2507,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760413385,model,qwen,chat
qwen3-32b,aliyun_bailian:qwen3-32b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1766731772,model,qwen,chat
qwen3-4b,aliyun_bailian:qwen3-4b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760688025,model,qwen,chat
qwen3-8b,aliyun_bailian:qwen3-8b,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1758608409,model,qwen,chat
qwen3-asr-flash-2026-02-10,aliyun_bailian:qwen3-asr-flash-2026-02-10,tongyi,阿里巴巴 (通义千问),audio->text,audio,text,65536,heuristic,语音/同传类启发值，以文档为准,system,1772530125,model,qwen,chat
qwen3-asr-flash-realtime,aliyun_bailian:qwen3-asr-flash-realtime,tongyi,阿里巴巴 (通义千问),audio->text,audio,text,65536,heuristic,语音/同传类启发值，以文档为准,system,1763022111,model,qwen,chat
qwen3-asr-flash-realtime-2025-10-27,aliyun_bailian:qwen3-asr-flash-realtime-2025-10-27,tongyi,阿里巴巴 (通义千问),audio->text,audio,text,65536,heuristic,语音/同传类启发值，以文档为准,system,1763022126,model,qwen,chat
qwen3-asr-flash-realtime-2026-02-10,aliyun_bailian:qwen3-asr-flash-realtime-2026-02-10,tongyi,阿里巴巴 (通义千问),audio->text,audio,text,65536,heuristic,语音/同传类启发值，以文档为准,system,1772269661,model,qwen,chat
qwen3-coder-480b-a35b-instruct,aliyun_bailian:qwen3-coder-480b-a35b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760688365,model,qwen,chat
qwen3-coder-flash,aliyun_bailian:qwen3-coder-flash,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770130782,model,qwen,chat
qwen3-coder-next,aliyun_bailian:qwen3-coder-next,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772433350,model,qwen,chat
qwen3-coder-plus,aliyun_bailian:qwen3-coder-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1772196763,model,qwen,chat
qwen3-coder-plus-2025-07-22,aliyun_bailian:qwen3-coder-plus-2025-07-22,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1755694896,model,qwen,chat
qwen3-coder-plus-2025-09-23,aliyun_bailian:qwen3-coder-plus-2025-09-23,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1764776933,model,qwen,chat
qwen3-livetranslate-flash,aliyun_bailian:qwen3-livetranslate-flash,tongyi,阿里巴巴 (通义千问),text+audio->text,"text,audio",text,65536,heuristic,语音/同传类启发值，以文档为准,system,1764836565,model,qwen,chat
qwen3-livetranslate-flash-2025-12-01,aliyun_bailian:qwen3-livetranslate-flash-2025-12-01,tongyi,阿里巴巴 (通义千问),text+audio->text,"text,audio",text,65536,heuristic,语音/同传类启发值，以文档为准,system,1764737030,model,qwen,chat
qwen3-livetranslate-flash-realtime,aliyun_bailian:qwen3-livetranslate-flash-realtime,tongyi,阿里巴巴 (通义千问),text+audio->text,"text,audio",text,65536,heuristic,语音/同传类启发值，以文档为准,system,1763022138,model,qwen,chat
qwen3-livetranslate-flash-realtime-2025-09-22,aliyun_bailian:qwen3-livetranslate-flash-realtime-2025-09-22,tongyi,阿里巴巴 (通义千问),text+audio->text,"text,audio",text,65536,heuristic,语音/同传类启发值，以文档为准,system,1763022151,model,qwen,chat
qwen3-max,aliyun_bailian:qwen3-max,tongyi,阿里巴巴 (通义千问),text->text,text,text,252000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1773667211,model,qwen,chat
qwen3-max-2025-09-23,aliyun_bailian:qwen3-max-2025-09-23,tongyi,阿里巴巴 (通义千问),text->text,text,text,252000,heuristic,与 registry 中 qwen3-max 一致，启发值,system,1772111362,model,qwen,chat
qwen3-max-2026-01-23,aliyun_bailian:qwen3-max-2026-01-23,tongyi,阿里巴巴 (通义千问),text->text,text,text,252000,heuristic,与 registry 中 qwen3-max 一致，启发值,system,1770807529,model,qwen,chat
qwen3-max-preview,aliyun_bailian:qwen3-max-preview,tongyi,阿里巴巴 (通义千问),text->text,text,text,252000,heuristic,与 registry 中 qwen3-max 一致，启发值,system,1768287967,model,qwen,chat
qwen3-next-80b-a3b-instruct,aliyun_bailian:qwen3-next-80b-a3b-instruct,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1769669351,model,qwen,chat
qwen3-next-80b-a3b-thinking,aliyun_bailian:qwen3-next-80b-a3b-thinking,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1760688504,model,qwen,chat
qwen3-omni-flash,aliyun_bailian:qwen3-omni-flash,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,48000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1768533390,model,qwen,"chat,omni"
qwen3-omni-flash-2025-09-15,aliyun_bailian:qwen3-omni-flash-2025-09-15,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,65536,heuristic,Omni 系列启发值，以文档为准,system,1761550514,model,qwen,"chat,omni"
qwen3-omni-flash-2025-12-01,aliyun_bailian:qwen3-omni-flash-2025-12-01,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,65536,heuristic,Omni 系列启发值，以文档为准,system,1768533356,model,qwen,"chat,omni"
qwen3-omni-flash-realtime,aliyun_bailian:qwen3-omni-flash-realtime,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,65536,heuristic,Omni 系列启发值，以文档为准,system,1768533342,model,qwen,"chat,omni"
qwen3-omni-flash-realtime-2025-09-15,aliyun_bailian:qwen3-omni-flash-realtime-2025-09-15,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,65536,heuristic,Omni 系列启发值，以文档为准,system,1761550561,model,qwen,"chat,omni"
qwen3-omni-flash-realtime-2025-12-01,aliyun_bailian:qwen3-omni-flash-realtime-2025-12-01,tongyi,阿里巴巴 (通义千问),text+image+audio+video->text,"text,image,audio,video",text,65536,heuristic,Omni 系列启发值，以文档为准,system,1768533369,model,qwen,"chat,omni"
qwen3-s2s-flash-realtime-2025-09-22,aliyun_bailian:qwen3-s2s-flash-realtime-2025-09-22,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1763022163,model,qwen,chat
qwen3-tts-flash,aliyun_bailian:qwen3-tts-flash,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1767618014,model,qwen,"chat,speech"
qwen3-tts-flash-2025-09-18,aliyun_bailian:qwen3-tts-flash-2025-09-18,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1763022187,model,qwen,"chat,speech"
qwen3-tts-flash-2025-11-27,aliyun_bailian:qwen3-tts-flash-2025-11-27,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1764125897,model,qwen,"chat,speech"
qwen3-tts-flash-realtime,aliyun_bailian:qwen3-tts-flash-realtime,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1767618029,model,qwen,"chat,speech"
qwen3-tts-flash-realtime-2025-09-18,aliyun_bailian:qwen3-tts-flash-realtime-2025-09-18,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1763022209,model,qwen,"chat,speech"
qwen3-tts-flash-realtime-2025-11-27,aliyun_bailian:qwen3-tts-flash-realtime-2025-11-27,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1764125637,model,qwen,"chat,speech"
qwen3-tts-instruct-flash,aliyun_bailian:qwen3-tts-instruct-flash,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770721937,model,qwen,"chat,speech"
qwen3-tts-instruct-flash-2026-01-26,aliyun_bailian:qwen3-tts-instruct-flash-2026-01-26,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770722014,model,qwen,"chat,speech"
qwen3-tts-instruct-flash-realtime,aliyun_bailian:qwen3-tts-instruct-flash-realtime,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770173313,model,qwen,"chat,speech"
qwen3-tts-instruct-flash-realtime-2026-01-22,aliyun_bailian:qwen3-tts-instruct-flash-realtime-2026-01-22,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770173367,model,qwen,"chat,speech"
qwen3-tts-vc-2026-01-22,aliyun_bailian:qwen3-tts-vc-2026-01-22,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770721798,model,qwen,"chat,speech"
qwen3-tts-vc-realtime-2025-11-27,aliyun_bailian:qwen3-tts-vc-realtime-2025-11-27,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1764126161,model,qwen,"chat,speech"
qwen3-tts-vc-realtime-2026-01-15,aliyun_bailian:qwen3-tts-vc-realtime-2026-01-15,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1768647278,model,qwen,"chat,speech"
qwen3-tts-vd-2026-01-26,aliyun_bailian:qwen3-tts-vd-2026-01-26,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770722674,model,qwen,"chat,speech"
qwen3-tts-vd-realtime-2025-12-16,aliyun_bailian:qwen3-tts-vd-realtime-2025-12-16,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1765861332,model,qwen,"chat,speech"
qwen3-tts-vd-realtime-2026-01-15,aliyun_bailian:qwen3-tts-vd-realtime-2026-01-15,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,通义常见 128K 量级，启发值,system,1770013381,model,qwen,"chat,speech"
qwen3-vl-flash,aliyun_bailian:qwen3-vl-flash,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,30000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1770132128,model,qwen,"chat,vision"
qwen3-vl-flash-2025-10-15,aliyun_bailian:qwen3-vl-flash-2025-10-15,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,32768,heuristic,VL 系列常见上限，启发值,system,1760688802,model,qwen,"chat,vision"
qwen3-vl-flash-2026-01-22,aliyun_bailian:qwen3-vl-flash-2026-01-22,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,32768,heuristic,VL 系列常见上限，启发值,system,1769440113,model,qwen,"chat,vision"
qwen3-vl-plus,aliyun_bailian:qwen3-vl-plus,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,30000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1771912337,model,qwen,"chat,vision"
qwen3-vl-plus-2025-09-23,aliyun_bailian:qwen3-vl-plus-2025-09-23,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,32768,heuristic,VL 系列常见上限，启发值,system,1772111546,model,qwen,"chat,vision"
qwen3-vl-plus-2025-12-19,aliyun_bailian:qwen3-vl-plus-2025-12-19,tongyi,阿里巴巴 (通义千问),text+image->text,"text,image",text,32768,heuristic,VL 系列常见上限，启发值,system,1766050605,model,qwen,"chat,vision"
qwen3.5-122b-a10b,aliyun_bailian:qwen3.5-122b-a10b,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1773807315,model,qwen,chat
qwen3.5-27b,aliyun_bailian:qwen3.5-27b,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1773807301,model,qwen,chat
qwen3.5-35b-a3b,aliyun_bailian:qwen3.5-35b-a3b,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1773807285,model,qwen,chat
qwen3.5-397b-a17b,aliyun_bailian:qwen3.5-397b-a17b,tongyi,阿里巴巴 (通义千问),text->text,text,text,254000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1773807266,model,qwen,chat
qwen3.5-flash,aliyun_bailian:qwen3.5-flash,tongyi,阿里巴巴 (通义千问),text->text,text,text,991000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1773807117,model,qwen,chat
qwen3.5-flash-2026-02-23,aliyun_bailian:qwen3.5-flash-2026-02-23,tongyi,阿里巴巴 (通义千问),text->text,text,text,991000,heuristic,与同系列 Flash 在 registry 中一致，启发值,system,1773807130,model,qwen,chat
qwen3.5-plus,aliyun_bailian:qwen3.5-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,991000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1773807155,model,qwen,chat
qwen3.5-plus-2026-02-15,aliyun_bailian:qwen3.5-plus-2026-02-15,tongyi,阿里巴巴 (通义千问),text->text,text,text,991000,mmaa_llm_registry,与 backend LLMRegistry 中 aliyun_bailian 配置一致,system,1773807168,model,qwen,chat
qwq-plus,aliyun_bailian:qwq-plus,unknown,未识别（见百炼模型说明）,text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1766039779,model,other,chat
qwq-plus-2025-03-05,aliyun_bailian:qwq-plus-2025-03-05,unknown,未识别（见百炼模型说明）,text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1766039797,model,other,chat
siliconflow/deepseek-r1-0528,aliyun_bailian:siliconflow/deepseek-r1-0528,siliconflow,SiliconFlow（经百炼路由）,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1769611447,model,siliconflow,chat
siliconflow/deepseek-v3-0324,aliyun_bailian:siliconflow/deepseek-v3-0324,siliconflow,SiliconFlow（经百炼路由）,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1769611458,model,siliconflow,chat
siliconflow/deepseek-v3.1-terminus,aliyun_bailian:siliconflow/deepseek-v3.1-terminus,siliconflow,SiliconFlow（经百炼路由）,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1769611465,model,siliconflow,chat
siliconflow/deepseek-v3.2,aliyun_bailian:siliconflow/deepseek-v3.2,siliconflow,SiliconFlow（经百炼路由）,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1769611475,model,siliconflow,chat
tongyi-xiaomi-analysis-flash,aliyun_bailian:tongyi-xiaomi-analysis-flash,unknown,未识别（见百炼模型说明）,text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1770706811,model,other,chat
tongyi-xiaomi-analysis-pro,aliyun_bailian:tongyi-xiaomi-analysis-pro,unknown,未识别（见百炼模型说明）,text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1770706854,model,other,chat
z-image-turbo,aliyun_bailian:z-image-turbo,unknown,未识别（见百炼模型说明）,text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1766111685,model,other,chat
